country,year,sex,age,suicides_no,population,suicides_100k, gdp_per_year,gdp_per_capita,generation
Argentina,1989,female,35-54 years,166.0,3563000,4.66,"76,63,68,98,036",2670.0,Silent
Argentina,1989,female,25-34 years,83.0,2240000,3.71,"76,63,68,98,036",2670.0,Boomers
Argentina,1989,female,15-24 years,80.0,2509000,3.19,"76,63,68,98,036",2670.0,Generation X
Argentina,1989,male,5-14 years,18.0,3245000,0.55,"76,63,68,98,036",2670.0,Generation X
Argentina,1989,female,5-14 years,11.0,3149000,0.35,"76,63,68,98,036",2670.0,Generation X
Argentina,1990,male,75+ years,226.0,411100,54.97,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,55-74 years,502.0,2128000,23.59,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,35-54 years,439.0,3619000,12.13,"1,41,35,23,68,715",4859.0,Silent
Argentina,1990,female,75+ years,61.0,643000,9.49,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,25-34 years,182.0,2297000,7.92,"1,41,35,23,68,715",4859.0,Boomers
Argentina,1990,female,55-74 years,190.0,2477000,7.67,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,15-24 years,174.0,2635000,6.6,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1990,female,35-54 years,163.0,3622000,4.5,"1,41,35,23,68,715",4859.0,Silent
Argentina,1990,female,15-24 years,91.0,2568000,3.54,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1990,female,25-34 years,76.0,2251000,3.38,"1,41,35,23,68,715",4859.0,Boomers
Argentina,1990,male,5-14 years,22.0,3269000,0.67,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1990,female,5-14 years,14.0,3171000,0.44,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1991,male,75+ years,184.0,396000,46.46,"1,89,71,99,84,268",6404.0,G.I. Generation
Argentina,1991,male,55-74 years,449.0,2130000,21.08,"1,89,71,99,84,268",6404.0,Silent
Argentina,1991,male,35-54 years,398.0,3580000,11.12,"1,89,71,99,84,268",6404.0,Boomers
Argentina,1991,male,25-34 years,214.0,2277000,9.4,"1,89,71,99,84,268",6404.0,Boomers
Argentina,1991,female,75+ years,50.0,658000,7.6,"1,89,71,99,84,268",6404.0,G.I. Generation
Argentina,1991,female,55-74 years,169.0,2508000,6.74,"1,89,71,99,84,268",6404.0,Silent
Argentina,1991,male,15-24 years,179.0,2738000,6.54,"1,89,71,99,84,268",6404.0,Generation X
Argentina,1991,female,35-54 years,133.0,3691000,3.6,"1,89,71,99,84,268",6404.0,Boomers
Argentina,1991,female,25-34 years,77.0,2310000,3.33,"1,89,71,99,84,268",6404.0,Boomers
Argentina,1991,female,15-24 years,61.0,2689000,2.27,"1,89,71,99,84,268",6404.0,Generation X
Argentina,1991,male,5-14 years,28.0,3369000,0.83,"1,89,71,99,84,268",6404.0,Millenials
Argentina,1991,female,5-14 years,9.0,3277000,0.27,"1,89,71,99,84,268",6404.0,Millenials
Argentina,1992,male,75+ years,194.0,404900,47.91,"2,28,78,86,17,202",7615.0,G.I. Generation
Argentina,1992,male,55-74 years,500.0,2150500,23.25,"2,28,78,86,17,202",7615.0,Silent
Argentina,1992,male,35-54 years,488.0,3616600,13.49,"2,28,78,86,17,202",7615.0,Boomers
Argentina,1992,male,25-34 years,227.0,2306200,9.84,"2,28,78,86,17,202",7615.0,Boomers
Argentina,1992,male,15-24 years,249.0,2834100,8.79,"2,28,78,86,17,202",7615.0,Generation X
Argentina,1992,female,75+ years,46.0,678000,6.78,"2,28,78,86,17,202",7615.0,G.I. Generation
Argentina,1992,female,55-74 years,147.0,2538400,5.79,"2,28,78,86,17,202",7615.0,Silent
Argentina,1992,female,35-54 years,140.0,3755500,3.73,"2,28,78,86,17,202",7615.0,Boomers
Argentina,1992,female,25-34 years,79.0,2329100,3.39,"2,28,78,86,17,202",7615.0,Boomers
Argentina,1992,female,15-24 years,79.0,2783500,2.84,"2,28,78,86,17,202",7615.0,Generation X
Argentina,1992,male,5-14 years,22.0,3371800,0.65,"2,28,78,86,17,202",7615.0,Millenials
Argentina,1992,female,5-14 years,13.0,3276800,0.4,"2,28,78,86,17,202",7615.0,Millenials
Argentina,1993,male,75+ years,229.0,413600,55.37,"2,36,74,17,15,015",7768.0,G.I. Generation
Argentina,1993,male,55-74 years,520.0,2171500,23.95,"2,36,74,17,15,015",7768.0,Silent
Argentina,1993,male,35-54 years,495.0,3672300,13.48,"2,36,74,17,15,015",7768.0,Boomers
Argentina,1993,male,25-34 years,233.0,2336300,9.97,"2,36,74,17,15,015",7768.0,Boomers
Argentina,1993,female,75+ years,58.0,698400,8.3,"2,36,74,17,15,015",7768.0,G.I. Generation
Argentina,1993,male,15-24 years,235.0,2932300,8.01,"2,36,74,17,15,015",7768.0,Generation X
Argentina,1993,female,55-74 years,126.0,2568300,4.91,"2,36,74,17,15,015",7768.0,Silent
Argentina,1993,female,35-54 years,144.0,3820400,3.77,"2,36,74,17,15,015",7768.0,Boomers
Argentina,1993,female,25-34 years,76.0,2347800,3.24,"2,36,74,17,15,015",7768.0,Boomers
Argentina,1993,female,15-24 years,73.0,2879300,2.54,"2,36,74,17,15,015",7768.0,Generation X
Argentina,1993,male,5-14 years,25.0,3367500,0.74,"2,36,74,17,15,015",7768.0,Millenials
Argentina,1993,female,5-14 years,16.0,3269800,0.49,"2,36,74,17,15,015",7768.0,Millenials
Argentina,1994,male,75+ years,192.0,423100,45.38,"2,57,44,00,00,000",8328.0,G.I. Generation
Argentina,1994,male,55-74 years,509.0,2192500,23.22,"2,57,44,00,00,000",8328.0,Silent
Argentina,1994,male,35-54 years,527.0,3729600,14.13,"2,57,44,00,00,000",8328.0,Boomers
Argentina,1994,male,25-34 years,226.0,2369000,9.54,"2,57,44,00,00,000",8328.0,Boomers
Argentina,1994,male,15-24 years,250.0,3027200,8.26,"2,57,44,00,00,000",8328.0,Generation X
Argentina,1994,female,55-74 years,135.0,2597400,5.2,"2,57,44,00,00,000",8328.0,Silent
Argentina,1994,female,75+ years,34.0,719700,4.72,"2,57,44,00,00,000",8328.0,G.I. Generation
Argentina,1994,female,35-54 years,160.0,3885600,4.12,"2,57,44,00,00,000",8328.0,Boomers
Argentina,1994,female,15-24 years,98.0,2971300,3.3,"2,57,44,00,00,000",8328.0,Generation X
Argentina,1994,female,25-34 years,72.0,2369900,3.04,"2,57,44,00,00,000",8328.0,Boomers
Argentina,1994,male,5-14 years,27.0,3363000,0.8,"2,57,44,00,00,000",8328.0,Millenials
Argentina,1994,female,5-14 years,11.0,3262900,0.34,"2,57,44,00,00,000",8328.0,Millenials
Argentina,1995,male,75+ years,190.0,433800,43.8,"2,58,03,17,50,000",8232.0,G.I. Generation
Argentina,1995,male,55-74 years,515.0,2214000,23.26,"2,58,03,17,50,000",8232.0,Silent
Argentina,1995,male,35-54 years,485.0,3787800,12.8,"2,58,03,17,50,000",8232.0,Boomers
Argentina,1995,male,25-34 years,218.0,2404900,9.06,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,male,15-24 years,277.0,3112100,8.9,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,female,75+ years,49.0,742200,6.6,"2,58,03,17,50,000",8232.0,G.I. Generation
Argentina,1995,female,55-74 years,134.0,2625900,5.1,"2,58,03,17,50,000",8232.0,Silent
Argentina,1995,female,35-54 years,139.0,3950100,3.52,"2,58,03,17,50,000",8232.0,Boomers
Argentina,1995,female,15-24 years,101.0,3053300,3.31,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,female,25-34 years,62.0,2396900,2.59,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,female,5-14 years,19.0,3261100,0.58,"2,58,03,17,50,000",8232.0,Millenials
Argentina,1995,male,5-14 years,15.0,3363300,0.45,"2,58,03,17,50,000",8232.0,Millenials
Argentina,1996,male,75+ years,189.0,445800,42.4,"2,72,14,97,50,000",8563.0,G.I. Generation
Argentina,1996,male,55-74 years,464.0,2235900,20.75,"2,72,14,97,50,000",8563.0,Silent
Argentina,1996,male,35-54 years,524.0,3847300,13.62,"2,72,14,97,50,000",8563.0,Boomers
Argentina,1996,male,25-34 years,226.0,2442900,9.25,"2,72,14,97,50,000",8563.0,Generation X
Argentina,1996,male,15-24 years,280.0,3185600,8.79,"2,72,14,97,50,000",8563.0,Generation X
Argentina,1996,female,75+ years,59.0,766100,7.7,"2,72,14,97,50,000",8563.0,G.I. Generation
Argentina,1996,female,55-74 years,131.0,2653800,4.94,"2,72,14,97,50,000",8563.0,Silent
Argentina,1996,female,35-54 years,176.0,4014100,4.38,"2,72,14,97,50,000",8563.0,Boomers
Argentina,1996,female,15-24 years,105.0,3123600,3.36,"2,72,14,97,50,000",8563.0,Generation X
Argentina,1996,female,25-34 years,52.0,2428400,2.14,"2,72,14,97,50,000",8563.0,Generation X
Argentina,1996,male,5-14 years,14.0,3370400,0.42,"2,72,14,97,50,000",8563.0,Millenials
Argentina,1996,female,5-14 years,9.0,3266800,0.28,"2,72,14,97,50,000",8563.0,Millenials
Argentina,1997,male,75+ years,195.0,490152,39.78,"2,92,85,90,00,000",9057.0,G.I. Generation
Argentina,1997,male,55-74 years,457.0,2252148,20.29,"2,92,85,90,00,000",9057.0,Silent
Argentina,1997,male,35-54 years,501.0,3934581,12.73,"2,92,85,90,00,000",9057.0,Boomers
Argentina,1997,male,25-34 years,213.0,2460112,8.66,"2,92,85,90,00,000",9057.0,Generation X
Argentina,1997,male,15-24 years,260.0,3198193,8.13,"2,92,85,90,00,000",9057.0,Generation X
Argentina,1997,female,75+ years,47.0,854095,5.5,"2,92,85,90,00,000",9057.0,G.I. Generation
Argentina,1997,female,55-74 years,131.0,2668528,4.91,"2,92,85,90,00,000",9057.0,Silent
Argentina,1997,female,35-54 years,165.0,4083427,4.04,"2,92,85,90,00,000",9057.0,Boomers
Argentina,1997,female,15-24 years,113.0,3161000,3.57,"2,92,85,90,00,000",9057.0,Generation X
Argentina,1997,female,25-34 years,72.0,2474330,2.91,"2,92,85,90,00,000",9057.0,Generation X
Argentina,1997,male,5-14 years,19.0,3429860,0.55,"2,92,85,90,00,000",9057.0,Millenials
Argentina,1997,female,5-14 years,11.0,3327355,0.33,"2,92,85,90,00,000",9057.0,Millenials
Argentina,1998,male,75+ years,201.0,504164,39.87,"2,98,94,82,50,000",9126.0,G.I. Generation
Argentina,1998,male,55-74 years,518.0,2274972,22.77,"2,98,94,82,50,000",9126.0,Silent
Argentina,1998,male,35-54 years,508.0,3990829,12.73,"2,98,94,82,50,000",9126.0,Boomers
Argentina,1998,male,15-24 years,327.0,3243944,10.08,"2,98,94,82,50,000",9126.0,Generation X
Argentina,1998,male,25-34 years,251.0,2497189,10.05,"2,98,94,82,50,000",9126.0,Generation X
Argentina,1998,female,75+ years,53.0,883724,6.0,"2,98,94,82,50,000",9126.0,G.I. Generation
Argentina,1998,female,55-74 years,140.0,2696429,5.19,"2,98,94,82,50,000",9126.0,Silent
Argentina,1998,female,15-24 years,114.0,3200362,3.56,"2,98,94,82,50,000",9126.0,Generation X
Argentina,1998,female,35-54 years,147.0,4143203,3.55,"2,98,94,82,50,000",9126.0,Boomers
Argentina,1998,female,25-34 years,52.0,2512005,2.07,"2,98,94,82,50,000",9126.0,Generation X
Argentina,1998,female,5-14 years,20.0,3353473,0.6,"2,98,94,82,50,000",9126.0,Millenials
Argentina,1998,male,5-14 years,16.0,3456965,0.46,"2,98,94,82,50,000",9126.0,Millenials
Argentina,1999,male,75+ years,204.0,515800,39.55,"2,83,52,30,00,000",8546.0,G.I. Generation
Argentina,1999,male,55-74 years,540.0,2301840,23.46,"2,83,52,30,00,000",8546.0,Silent
Argentina,1999,male,35-54 years,545.0,4045105,13.47,"2,83,52,30,00,000",8546.0,Boomers
Argentina,1999,male,15-24 years,355.0,3279728,10.82,"2,83,52,30,00,000",8546.0,Generation X
Argentina,1999,male,25-34 years,265.0,2543861,10.42,"2,83,52,30,00,000",8546.0,Generation X
Argentina,1999,female,55-74 years,137.0,2727054,5.02,"2,83,52,30,00,000",8546.0,Silent
Argentina,1999,female,75+ years,44.0,912898,4.82,"2,83,52,30,00,000",8546.0,G.I. Generation
Argentina,1999,female,35-54 years,141.0,4200203,3.36,"2,83,52,30,00,000",8546.0,Boomers
Argentina,1999,female,15-24 years,101.0,3229424,3.13,"2,83,52,30,00,000",8546.0,Generation X
Argentina,1999,female,25-34 years,50.0,2559176,1.95,"2,83,52,30,00,000",8546.0,Generation X
Argentina,1999,male,5-14 years,21.0,3482230,0.6,"2,83,52,30,00,000",8546.0,Millenials
Argentina,1999,female,5-14 years,20.0,3377543,0.59,"2,83,52,30,00,000",8546.0,Millenials
Argentina,2000,male,75+ years,232.0,525161,44.18,"2,84,20,37,50,000",8462.0,G.I. Generation
Argentina,2000,male,55-74 years,602.0,2333377,25.8,"2,84,20,37,50,000",8462.0,Silent
Argentina,2000,male,35-54 years,578.0,4096814,14.11,"2,84,20,37,50,000",8462.0,Boomers
Argentina,2000,male,15-24 years,463.0,3306109,14.0,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,male,25-34 years,331.0,2602314,12.72,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,female,55-74 years,133.0,2760512,4.82,"2,84,20,37,50,000",8462.0,Silent
Argentina,2000,female,75+ years,43.0,941957,4.56,"2,84,20,37,50,000",8462.0,G.I. Generation
Argentina,2000,female,35-54 years,174.0,4253771,4.09,"2,84,20,37,50,000",8462.0,Boomers
Argentina,2000,female,15-24 years,116.0,3249247,3.57,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,female,25-34 years,63.0,2617723,2.41,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,female,5-14 years,21.0,3396135,0.62,"2,84,20,37,50,000",8462.0,Millenials
Argentina,2000,male,5-14 years,18.0,3502413,0.51,"2,84,20,37,50,000",8462.0,Millenials
Argentina,2001,male,75+ years,250.0,547473,45.66,"2,68,69,67,50,000",7900.0,Silent
Argentina,2001,male,55-74 years,659.0,2358654,27.94,"2,68,69,67,50,000",7900.0,Silent
Argentina,2001,male,15-24 years,518.0,3325440,15.58,"2,68,69,67,50,000",7900.0,Millenials
Argentina,2001,male,35-54 years,625.0,4145861,15.08,"2,68,69,67,50,000",7900.0,Boomers
Argentina,2001,male,25-34 years,375.0,2675285,14.02,"2,68,69,67,50,000",7900.0,Generation X
Argentina,2001,female,75+ years,57.0,978346,5.83,"2,68,69,67,50,000",7900.0,Silent
Argentina,2001,female,15-24 years,166.0,3262682,5.09,"2,68,69,67,50,000",7900.0,Millenials
Argentina,2001,female,55-74 years,137.0,2788628,4.91,"2,68,69,67,50,000",7900.0,Silent
Argentina,2001,female,35-54 years,210.0,4306817,4.88,"2,68,69,67,50,000",7900.0,Boomers
Argentina,2001,female,25-34 years,82.0,2690206,3.05,"2,68,69,67,50,000",7900.0,Generation X
Argentina,2001,male,5-14 years,29.0,3519935,0.82,"2,68,69,67,50,000",7900.0,Millenials
Argentina,2001,female,5-14 years,24.0,3411619,0.7,"2,68,69,67,50,000",7900.0,Millenials
Argentina,2002,male,75+ years,234.0,566447,41.31,"97,72,40,04,252",2840.0,Silent
Argentina,2002,male,55-74 years,615.0,2387478,25.76,"97,72,40,04,252",2840.0,Silent
Argentina,2002,male,15-24 years,542.0,3331708,16.27,"97,72,40,04,252",2840.0,Millenials
Argentina,2002,male,25-34 years,412.0,2758283,14.94,"97,72,40,04,252",2840.0,Generation X
Argentina,2002,male,35-54 years,619.0,4191889,14.77,"97,72,40,04,252",2840.0,Boomers
Argentina,2002,female,55-74 years,179.0,2819507,6.35,"97,72,40,04,252",2840.0,Silent
Argentina,2002,female,75+ years,58.0,1012399,5.73,"97,72,40,04,252",2840.0,Silent
Argentina,2002,female,15-24 years,158.0,3263542,4.84,"97,72,40,04,252",2840.0,Millenials
Argentina,2002,female,35-54 years,194.0,4355651,4.45,"97,72,40,04,252",2840.0,Boomers
Argentina,2002,female,25-34 years,91.0,2772560,3.28,"97,72,40,04,252",2840.0,Generation X
Argentina,2002,male,5-14 years,37.0,3529201,1.05,"97,72,40,04,252",2840.0,Millenials
Argentina,2002,female,5-14 years,23.0,3418842,0.67,"97,72,40,04,252",2840.0,Millenials
Argentina,2003,male,75+ years,272.0,581842,46.75,"1,27,58,69,73,492",3668.0,Silent
Argentina,2003,male,55-74 years,577.0,2420864,23.83,"1,27,58,69,73,492",3668.0,Silent
Argentina,2003,male,15-24 years,638.0,3331226,19.15,"1,27,58,69,73,492",3668.0,Millenials
Argentina,2003,male,25-34 years,456.0,2845955,16.02,"1,27,58,69,73,492",3668.0,Generation X
Argentina,2003,male,35-54 years,625.0,4237124,14.75,"1,27,58,69,73,492",3668.0,Boomers
Argentina,2003,female,75+ years,68.0,1044188,6.51,"1,27,58,69,73,492",3668.0,Silent
Argentina,2003,female,15-24 years,179.0,3258029,5.49,"1,27,58,69,73,492",3668.0,Millenials
Argentina,2003,female,55-74 years,147.0,2854473,5.15,"1,27,58,69,73,492",3668.0,Silent
Argentina,2003,female,35-54 years,196.0,4402438,4.45,"1,27,58,69,73,492",3668.0,Boomers
Argentina,2003,female,25-34 years,69.0,2859003,2.41,"1,27,58,69,73,492",3668.0,Generation X
Argentina,2003,male,5-14 years,37.0,3531507,1.05,"1,27,58,69,73,492",3668.0,Millenials
Argentina,2003,female,5-14 years,25.0,3419258,0.73,"1,27,58,69,73,492",3668.0,Millenials
Argentina,2004,male,75+ years,227.0,593409,38.25,"1,64,65,79,30,453",4683.0,Silent
Argentina,2004,male,55-74 years,500.0,2459960,20.33,"1,64,65,79,30,453",4683.0,Silent
Argentina,2004,male,15-24 years,653.0,3333328,19.59,"1,64,65,79,30,453",4683.0,Millenials
Argentina,2004,male,25-34 years,445.0,2930079,15.19,"1,64,65,79,30,453",4683.0,Generation X
Argentina,2004,male,35-54 years,599.0,4284709,13.98,"1,64,65,79,30,453",4683.0,Boomers
Argentina,2004,female,15-24 years,159.0,3255244,4.88,"1,64,65,79,30,453",4683.0,Millenials
Argentina,2004,female,55-74 years,136.0,2895423,4.7,"1,64,65,79,30,453",4683.0,Silent
Argentina,2004,female,75+ years,50.0,1073648,4.66,"1,64,65,79,30,453",4683.0,Silent
Argentina,2004,female,35-54 years,185.0,4450210,4.16,"1,64,65,79,30,453",4683.0,Boomers
Argentina,2004,female,25-34 years,99.0,2940630,3.37,"1,64,65,79,30,453",4683.0,Generation X
Argentina,2004,male,5-14 years,43.0,3530061,1.22,"1,64,65,79,30,453",4683.0,Millenials
Argentina,2004,female,5-14 years,25.0,3416244,0.73,"1,64,65,79,30,453",4683.0,Millenials
Argentina,2005,male,75+ years,225.0,601176,37.43,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,male,55-74 years,489.0,2505136,19.52,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,male,15-24 years,638.0,3343414,19.08,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2005,male,25-34 years,451.0,3004991,15.01,"1,98,73,70,95,012",5590.0,Generation X
Argentina,2005,male,35-54 years,539.0,4336453,12.43,"1,98,73,70,95,012",5590.0,Boomers
Argentina,2005,female,55-74 years,161.0,2943135,5.47,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,female,75+ years,59.0,1101024,5.36,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,female,15-24 years,148.0,3260468,4.54,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2005,female,35-54 years,171.0,4500787,3.8,"1,98,73,70,95,012",5590.0,Boomers
Argentina,2005,female,25-34 years,104.0,3011376,3.45,"1,98,73,70,95,012",5590.0,Generation X
Argentina,2005,male,5-14 years,52.0,3528848,1.47,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2005,female,5-14 years,21.0,3413809,0.62,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2006,male,75+ years,246.0,620010,39.68,"2,32,55,72,60,817",6475.0,Silent
Argentina,2006,male,15-24 years,656.0,3357424,19.54,"2,32,55,72,60,817",6475.0,Millenials
Argentina,2006,male,55-74 years,487.0,2540712,19.17,"2,32,55,72,60,817",6475.0,Silent
Argentina,2006,male,25-34 years,483.0,3068991,15.74,"2,32,55,72,60,817",6475.0,Generation X
Argentina,2006,male,35-54 years,585.0,4383730,13.34,"2,32,55,72,60,817",6475.0,Boomers
Argentina,2006,female,15-24 years,175.0,3271703,5.35,"2,32,55,72,60,817",6475.0,Millenials
Argentina,2006,female,55-74 years,115.0,2983954,3.85,"2,32,55,72,60,817",6475.0,Silent
Argentina,2006,female,35-54 years,160.0,4549471,3.52,"2,32,55,72,60,817",6475.0,Boomers
Argentina,2006,female,25-34 years,105.0,3070419,3.42,"2,32,55,72,60,817",6475.0,Generation X
Argentina,2006,female,75+ years,31.0,1132977,2.74,"2,32,55,72,60,817",6475.0,Silent
Argentina,2006,male,5-14 years,39.0,3527369,1.11,"2,32,55,72,60,817",6475.0,Millenials
Argentina,2006,female,5-14 years,26.0,3412126,0.76,"2,32,55,72,60,817",6475.0,Millenials
Argentina,2007,male,75+ years,225.0,634995,35.43,"2,87,53,05,08,431",7918.0,Silent
Argentina,2007,male,15-24 years,577.0,3381171,17.07,"2,87,53,05,08,431",7918.0,Millenials
Argentina,2007,male,55-74 years,438.0,2582754,16.96,"2,87,53,05,08,431",7918.0,Silent
Argentina,2007,male,25-34 years,490.0,3125322,15.68,"2,87,53,05,08,431",7918.0,Generation X
Argentina,2007,male,35-54 years,571.0,4436541,12.87,"2,87,53,05,08,431",7918.0,Boomers
Argentina,2007,female,15-24 years,146.0,3292790,4.43,"2,87,53,05,08,431",7918.0,Millenials
Argentina,2007,female,25-34 years,126.0,3120162,4.04,"2,87,53,05,08,431",7918.0,Generation X
Argentina,2007,female,55-74 years,108.0,3033008,3.56,"2,87,53,05,08,431",7918.0,Silent
Argentina,2007,female,35-54 years,155.0,4601874,3.37,"2,87,53,05,08,431",7918.0,Boomers
Argentina,2007,female,75+ years,31.0,1161794,2.67,"2,87,53,05,08,431",7918.0,Silent
